"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","4,411.45","4,416.67","4,419.91","4,401.30","","0.16%"
"08/16/2023","4,404.33","4,433.79","4,449.95","4,403.55","","-0.76%"
"08/15/2023","4,437.86","4,478.87","4,478.87","4,432.19","","-1.16%"
"08/14/2023","4,489.72","4,458.13","4,490.33","4,453.44","","0.58%"
"08/11/2023","4,464.05","4,450.69","4,476.23","4,443.98","","-0.11%"
"08/10/2023","4,468.83","4,487.16","4,527.37","4,457.92","","0.03%"
"08/09/2023","4,467.71","4,501.57","4,502.44","4,461.33","","-0.70%"
"08/08/2023","4,499.38","4,498.03","4,503.31","4,464.39","","-0.42%"
"08/07/2023","4,518.44","4,491.58","4,519.84","4,491.15","","0.90%"
"08/04/2023","4,478.03","4,513.96","4,540.34","4,474.55","","-0.53%"
"08/03/2023","4,501.89","4,494.27","4,519.49","4,485.54","","-0.25%"
"08/02/2023","4,513.39","4,550.93","4,550.93","4,505.75","","-1.38%"
"08/01/2023","4,576.73","4,578.83","4,584.62","4,567.53","","-0.27%"
"07/31/2023","4,588.96","4,584.82","4,594.22","4,573.14","","0.15%"
"07/28/2023","4,582.23","4,565.75","4,590.16","4,564.01","","0.99%"
"07/27/2023","4,537.41","4,598.26","4,607.07","4,528.56","","-0.64%"
"07/26/2023","4,566.75","4,558.96","4,582.47","4,547.58","","-0.02%"
"07/25/2023","4,567.46","4,555.19","4,580.62","4,552.42","","0.28%"
"07/24/2023","4,554.64","4,543.39","4,563.41","4,541.29","","0.40%"
"07/21/2023","4,536.34","4,550.16","4,555.00","4,535.79","","0.03%"
"07/20/2023","4,534.87","4,554.38","4,564.74","4,527.56","","-0.68%"
"07/19/2023","4,565.72","4,563.87","4,578.43","4,557.48","","0.24%"
"07/18/2023","4,554.98","4,521.78","4,562.30","4,514.59","","0.71%"
"07/17/2023","4,522.79","4,508.86","4,532.85","4,504.90","","0.39%"
"07/14/2023","4,505.42","4,514.61","4,527.76","4,499.56","","-0.10%"
"07/13/2023","4,510.04","4,491.50","4,517.38","4,489.36","","0.85%"
"07/12/2023","4,472.16","4,467.69","4,488.34","4,463.23","","0.74%"
"07/11/2023","4,439.26","4,415.55","4,443.64","4,408.46","","0.67%"
"07/10/2023","4,409.53","4,394.23","4,412.60","4,389.92","","0.24%"
"07/07/2023","4,398.95","4,404.54","4,440.39","4,397.40","","-0.29%"
"07/06/2023","4,411.59","4,422.62","4,422.62","4,385.05","","-0.79%"
"07/05/2023","4,446.82","4,442.04","4,454.06","4,436.61","","-0.20%"
"07/03/2023","4,455.59","4,450.48","4,456.46","4,442.29","","0.12%"
"06/30/2023","4,450.38","4,422.44","4,458.48","4,422.44","","1.23%"
"06/29/2023","4,396.44","4,374.94","4,398.39","4,371.97","","0.45%"
"06/28/2023","4,376.86","4,367.48","4,390.35","4,360.22","","-0.04%"
"06/27/2023","4,378.41","4,337.36","4,384.42","4,335.00","","1.15%"
"06/26/2023","4,328.82","4,344.84","4,362.06","4,328.08","","-0.45%"
"06/23/2023","4,348.33","4,354.17","4,366.55","4,341.34","","-0.77%"
"06/22/2023","4,381.89","4,355.40","4,382.25","4,351.82","","0.37%"
"06/21/2023","4,365.69","4,380.01","4,386.22","4,360.14","","-0.52%"
"06/20/2023","4,388.71","4,396.11","4,400.15","4,367.19","","-0.47%"
"06/16/2023","4,409.59","4,440.95","4,448.47","4,407.44","","-0.37%"
"06/15/2023","4,425.84","4,365.33","4,439.20","4,362.60","","1.22%"
"06/14/2023","4,372.59","4,366.29","4,391.82","4,337.85","","0.08%"
"06/13/2023","4,369.01","4,352.61","4,375.37","4,349.31","","0.69%"
"06/12/2023","4,338.93","4,308.32","4,340.13","4,304.37","","0.93%"
"06/09/2023","4,298.86","4,304.88","4,322.62","4,291.70","","0.11%"
"06/08/2023","4,293.93","4,268.69","4,298.01","4,261.07","","0.62%"
"06/07/2023","4,267.52","4,285.47","4,299.19","4,263.96","","-0.38%"
"06/06/2023","4,283.85","4,271.34","4,288.33","4,263.09","","0.24%"
"06/05/2023","4,273.79","4,282.99","4,299.28","4,266.82","","-0.20%"
"06/02/2023","4,282.37","4,241.01","4,290.67","4,241.01","","1.45%"
"06/01/2023","4,221.02","4,183.03","4,232.43","4,171.64","","0.99%"
"05/31/2023","4,179.83","4,190.74","4,195.44","4,166.15","","-0.61%"
"05/30/2023","4,205.52","4,226.71","4,231.10","4,192.18","","0.00%"
"05/26/2023","4,205.45","4,156.16","4,212.87","4,156.16","","1.30%"
"05/25/2023","4,151.28","4,155.71","4,165.74","4,129.73","","0.88%"
"05/24/2023","4,115.24","4,132.96","4,132.96","4,103.98","","-0.73%"
"05/23/2023","4,145.58","4,176.80","4,185.68","4,142.54","","-1.12%"
"05/22/2023","4,192.63","4,190.78","4,209.22","4,179.68","","0.02%"
"05/19/2023","4,191.98","4,204.15","4,212.91","4,180.20","","-0.14%"
"05/18/2023","4,198.05","4,157.68","4,202.20","4,153.50","","0.94%"
"05/17/2023","4,158.77","4,122.85","4,164.67","4,113.62","","1.19%"
"05/16/2023","4,109.90","4,127.95","4,135.54","4,109.86","","-0.64%"
"05/15/2023","4,136.28","4,126.65","4,141.25","4,110.27","","0.30%"
"05/12/2023","4,124.08","4,138.54","4,143.74","4,099.12","","-0.16%"
"05/11/2023","4,130.62","4,132.24","4,132.80","4,109.29","","-0.17%"
"05/10/2023","4,137.64","4,143.74","4,154.28","4,098.92","","0.45%"
"05/09/2023","4,119.17","4,124.25","4,130.35","4,116.65","","-0.46%"
"05/08/2023","4,138.12","4,136.98","4,142.30","4,123.81","","0.05%"
"05/05/2023","4,136.25","4,084.73","4,147.02","4,084.73","","1.85%"
"05/04/2023","4,061.22","4,082.55","4,082.61","4,048.28","","-0.72%"
"05/03/2023","4,090.75","4,122.25","4,148.30","4,088.86","","-0.70%"
"05/02/2023","4,119.58","4,164.10","4,164.10","4,089.72","","-1.16%"
"05/01/2023","4,167.87","4,166.79","4,186.92","4,164.12","","-0.04%"
"04/28/2023","4,169.48","4,129.63","4,170.06","4,127.18","","0.83%"
"04/27/2023","4,135.35","4,075.29","4,138.24","4,075.29","","1.96%"
"04/26/2023","4,055.99","4,087.78","4,089.67","4,049.35","","-0.38%"
"04/25/2023","4,071.63","4,126.43","4,126.43","4,071.38","","-1.58%"
"04/24/2023","4,137.04","4,132.07","4,142.41","4,117.77","","0.09%"
"04/21/2023","4,133.52","4,132.14","4,138.02","4,113.86","","0.09%"
"04/20/2023","4,129.79","4,130.48","4,148.57","4,114.57","","-0.60%"
"04/19/2023","4,154.52","4,139.33","4,162.57","4,134.49","","-0.01%"
"04/18/2023","4,154.87","4,164.26","4,169.48","4,140.36","","0.09%"
"04/17/2023","4,151.32","4,137.17","4,151.72","4,123.18","","0.33%"
"04/14/2023","4,137.64","4,140.11","4,163.19","4,113.20","","-0.21%"
"04/13/2023","4,146.22","4,100.04","4,150.26","4,099.40","","1.33%"
"04/12/2023","4,091.95","4,121.72","4,134.37","4,086.94","","-0.41%"
"04/11/2023","4,108.94","4,110.29","4,124.26","4,102.61","","0.00%"
"04/10/2023","4,109.11","4,085.20","4,109.50","4,072.55","","0.10%"
"04/06/2023","4,105.02","4,081.15","4,107.32","4,069.84","","0.36%"
"04/05/2023","4,090.38","4,094.50","4,099.69","4,072.56","","-0.25%"
"04/04/2023","4,100.60","4,128.03","4,133.13","4,086.87","","-0.58%"
"04/03/2023","4,124.51","4,102.20","4,127.66","4,098.79","","0.37%"
"03/31/2023","4,109.31","4,056.18","4,110.75","4,056.18","","1.44%"
"03/30/2023","4,050.83","4,046.74","4,057.85","4,032.10","","0.57%"
"03/29/2023","4,027.81","3,999.53","4,030.59","3,999.53","","1.42%"
"03/28/2023","3,971.27","3,974.13","3,979.20","3,951.53","","-0.16%"
"03/27/2023","3,977.53","3,982.93","4,003.83","3,970.49","","0.16%"
"03/24/2023","3,970.99","3,939.21","3,972.74","3,909.16","","0.56%"
"03/23/2023","3,948.72","3,959.21","4,007.66","3,919.05","","0.30%"
"03/22/2023","3,936.97","4,002.04","4,039.49","3,936.17","","-1.65%"
"03/21/2023","4,002.87","3,975.89","4,009.08","3,971.19","","1.30%"
"03/20/2023","3,951.57","3,917.47","3,956.62","3,916.89","","0.89%"
"03/17/2023","3,916.64","3,958.69","3,958.91","3,901.27","","-1.10%"
"03/16/2023","3,960.28","3,878.93","3,964.46","3,864.11","","1.76%"
"03/15/2023","3,891.93","3,876.74","3,894.26","3,838.24","","-0.73%"
"03/14/2023","3,920.56","3,894.01","3,937.29","3,873.63","","1.68%"
"03/13/2023","3,855.76","3,835.12","3,905.05","3,808.86","","-0.15%"
"03/10/2023","3,861.59","3,912.77","3,934.05","3,846.32","","-1.45%"
