"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 17, 2023","1,782.38","1,807.81","1,809.81","1,782.18","277.82K","-1.41%"
"Aug 16, 2023","1,807.81","1,828.98","1,831.52","1,803.31","217.47K","-1.16%"
"Aug 15, 2023","1,828.98","1,845.51","1,847.35","1,816.32","196.60K","-0.90%"
"Aug 14, 2023","1,845.51","1,840.73","1,856.48","1,835.90","158.11K","0.26%"
"Aug 13, 2023","1,840.73","1,849.94","1,861.50","1,835.51","126.51K","-0.50%"
"Aug 12, 2023","1,849.94","1,848.88","1,853.54","1,846.13","66.93K","0.06%"
"Aug 11, 2023","1,848.88","1,852.46","1,857.17","1,840.65","120.55K","-0.19%"
"Aug 10, 2023","1,852.46","1,855.36","1,865.94","1,847.34","134.21K","-0.16%"
"Aug 09, 2023","1,855.36","1,856.24","1,870.48","1,846.76","203.58K","-0.05%"
"Aug 08, 2023","1,856.24","1,829.10","1,871.77","1,826.40","253.39K","1.48%"
"Aug 07, 2023","1,829.11","1,830.28","1,846.41","1,805.30","243.92K","-0.06%"
"Aug 06, 2023","1,830.28","1,836.48","1,838.08","1,826.12","100.32K","-0.34%"
"Aug 05, 2023","1,836.48","1,830.24","1,838.62","1,827.52","103.08K","0.34%"
"Aug 04, 2023","1,830.24","1,835.98","1,849.13","1,819.65","199.60K","-0.31%"
"Aug 03, 2023","1,835.98","1,839.76","1,858.62","1,828.34","182.56K","-0.23%"
"Aug 02, 2023","1,840.21","1,874.21","1,879.32","1,822.94","272.70K","-1.81%"
"Aug 01, 2023","1,874.21","1,856.17","1,875.00","1,818.06","386.29K","0.97%"
"Jul 31, 2023","1,856.17","1,861.81","1,876.03","1,851.42","177.97K","-0.30%"
"Jul 30, 2023","1,861.81","1,880.55","1,884.33","1,851.63","167.77K","-1.00%"
"Jul 29, 2023","1,880.55","1,874.23","1,886.26","1,869.74","79.76K","0.34%"
"Jul 28, 2023","1,874.23","1,861.32","1,882.23","1,856.90","148.92K","0.69%"
"Jul 27, 2023","1,861.32","1,872.00","1,885.87","1,855.40","176.21K","-0.57%"
"Jul 26, 2023","1,872.00","1,857.67","1,886.92","1,849.43","286.61K","0.77%"
"Jul 25, 2023","1,857.67","1,850.05","1,867.36","1,845.68","161.06K","0.41%"
"Jul 24, 2023","1,850.04","1,888.85","1,890.78","1,835.14","297.13K","-2.05%"
"Jul 23, 2023","1,888.85","1,866.26","1,903.95","1,858.12","164.31K","1.21%"
"Jul 22, 2023","1,866.25","1,891.75","1,897.03","1,854.09","143.13K","-1.35%"
"Jul 21, 2023","1,891.75","1,891.68","1,905.57","1,884.95","176.39K","0.03%"
"Jul 20, 2023","1,891.23","1,888.64","1,928.36","1,879.39","321.92K","0.14%"
"Jul 19, 2023","1,888.65","1,897.58","1,920.48","1,882.18","244.92K","-0.47%"
"Jul 18, 2023","1,897.58","1,911.24","1,917.21","1,877.52","233.00K","-0.71%"
"Jul 17, 2023","1,911.24","1,922.45","1,935.99","1,876.00","293.54K","-0.58%"
"Jul 16, 2023","1,922.45","1,931.43","1,942.55","1,918.01","158.59K","-0.46%"
"Jul 15, 2023","1,931.42","1,938.05","1,946.10","1,926.83","145.89K","-0.34%"
"Jul 14, 2023","1,938.05","2,004.77","2,025.56","1,900.22","530.86K","-3.33%"
"Jul 13, 2023","2,004.77","1,871.86","2,010.75","1,863.22","588.53K","7.10%"
"Jul 12, 2023","1,871.86","1,878.33","1,901.45","1,865.11","280.91K","-0.34%"
"Jul 11, 2023","1,878.33","1,880.42","1,889.83","1,863.93","191.47K","-0.11%"
"Jul 10, 2023","1,880.42","1,862.91","1,903.82","1,846.71","264.83K","0.94%"
"Jul 09, 2023","1,862.91","1,865.28","1,878.22","1,856.97","145.47K","-0.13%"
"Jul 08, 2023","1,865.28","1,870.92","1,873.16","1,843.82","136.69K","-0.30%"
"Jul 07, 2023","1,870.92","1,848.29","1,877.51","1,827.35","249.82K","1.22%"
"Jul 06, 2023","1,848.36","1,910.43","1,957.58","1,847.01","483.00K","-3.25%"
"Jul 05, 2023","1,910.43","1,936.21","1,942.15","1,896.43","284.34K","-1.33%"
"Jul 04, 2023","1,936.19","1,955.56","1,966.03","1,931.64","226.10K","-0.99%"
"Jul 03, 2023","1,955.56","1,937.57","1,974.61","1,934.51","346.33K","0.93%"
"Jul 02, 2023","1,937.57","1,924.53","1,958.36","1,893.68","283.61K","0.68%"
"Jul 01, 2023","1,924.53","1,933.80","1,943.20","1,909.92","189.41K","-0.48%"
"Jun 30, 2023","1,933.80","1,851.92","1,943.65","1,837.49","765.42K","4.42%"
"Jun 29, 2023","1,851.92","1,827.95","1,878.86","1,827.95","256.22K","1.31%"
"Jun 28, 2023","1,827.95","1,889.51","1,890.11","1,821.94","356.71K","-3.26%"
"Jun 27, 2023","1,889.51","1,859.00","1,911.73","1,856.19","386.05K","1.64%"
"Jun 26, 2023","1,859.00","1,898.80","1,906.07","1,840.63","479.76K","-2.10%"
"Jun 25, 2023","1,898.80","1,875.00","1,929.61","1,869.28","356.99K","1.27%"
"Jun 24, 2023","1,875.00","1,891.98","1,904.04","1,865.77","239.37K","-0.90%"
"Jun 23, 2023","1,891.97","1,872.29","1,932.23","1,864.60","428.03K","1.05%"
"Jun 22, 2023","1,872.32","1,889.87","1,931.60","1,866.66","438.75K","-0.93%"
"Jun 21, 2023","1,889.87","1,791.64","1,899.11","1,787.59","653.63K","5.48%"
"Jun 20, 2023","1,791.61","1,737.06","1,793.35","1,715.20","359.77K","3.14%"
"Jun 19, 2023","1,737.06","1,720.98","1,748.05","1,706.40","263.64K","0.93%"
"Jun 18, 2023","1,720.98","1,727.79","1,746.40","1,715.90","167.46K","-0.39%"
"Jun 17, 2023","1,727.79","1,717.92","1,764.06","1,714.30","227.93K","0.57%"
"Jun 16, 2023","1,717.92","1,666.96","1,728.35","1,653.68","333.35K","3.06%"
"Jun 15, 2023","1,666.96","1,650.96","1,678.94","1,632.50","397.40K","0.97%"
"Jun 14, 2023","1,650.96","1,739.60","1,749.90","1,636.49","451.13K","-5.10%"
"Jun 13, 2023","1,739.60","1,742.60","1,763.15","1,727.64","303.23K","-0.17%"
"Jun 12, 2023","1,742.60","1,752.80","1,757.79","1,722.92","320.47K","-0.58%"
"Jun 11, 2023","1,752.80","1,751.56","1,775.87","1,740.02","232.04K","0.07%"
"Jun 10, 2023","1,751.56","1,840.41","1,844.23","1,719.16","696.59K","-4.83%"
"Jun 09, 2023","1,840.41","1,845.68","1,854.72","1,828.66","215.71K","-0.29%"
"Jun 08, 2023","1,845.68","1,832.10","1,860.53","1,829.38","202.78K","0.74%"
"Jun 07, 2023","1,832.10","1,884.63","1,893.73","1,823.42","454.83K","-2.76%"
"Jun 06, 2023","1,884.17","1,811.19","1,895.79","1,800.75","518.57K","4.03%"
"Jun 05, 2023","1,811.20","1,890.00","1,890.53","1,782.82","588.61K","-4.17%"
"Jun 04, 2023","1,890.04","1,892.05","1,914.12","1,884.54","183.07K","-0.11%"
"Jun 03, 2023","1,892.05","1,907.10","1,907.90","1,884.17","157.10K","-0.79%"
"Jun 02, 2023","1,907.10","1,861.77","1,910.01","1,847.84","329.16K","2.43%"
"Jun 01, 2023","1,861.77","1,873.62","1,888.07","1,846.23","286.98K","-0.63%"
"May 31, 2023","1,873.63","1,900.59","1,906.21","1,852.00","337.87K","-1.42%"
"May 30, 2023","1,900.59","1,892.61","1,915.91","1,882.97","288.67K","0.42%"
"May 29, 2023","1,892.61","1,908.37","1,925.74","1,878.33","338.07K","-0.83%"
"May 28, 2023","1,908.35","1,829.91","1,914.92","1,824.70","401.09K","4.29%"
"May 27, 2023","1,829.91","1,827.80","1,835.94","1,817.35","147.46K","0.12%"
"May 26, 2023","1,827.80","1,805.62","1,837.39","1,798.10","290.89K","1.22%"
"May 25, 2023","1,805.69","1,799.91","1,817.05","1,764.92","370.60K","0.32%"
"May 24, 2023","1,799.91","1,854.08","1,854.08","1,781.70","441.64K","-2.92%"
"May 23, 2023","1,854.08","1,817.19","1,868.89","1,815.41","428.05K","2.03%"
"May 22, 2023","1,817.19","1,804.89","1,827.38","1,792.35","250.27K","0.68%"
"May 21, 2023","1,804.89","1,819.66","1,827.47","1,799.03","170.05K","-0.81%"
"May 20, 2023","1,819.68","1,812.32","1,828.06","1,807.08","134.46K","0.41%"
"May 19, 2023","1,812.32","1,800.95","1,829.33","1,796.99","253.50K","0.63%"
"May 18, 2023","1,800.99","1,822.12","1,831.51","1,774.77","311.24K","-1.14%"
"May 17, 2023","1,821.73","1,823.98","1,834.44","1,785.78","376.26K","-0.12%"
"May 16, 2023","1,823.98","1,817.11","1,830.01","1,797.60","325.77K","0.38%"
"May 15, 2023","1,817.11","1,799.36","1,845.27","1,786.61","405.84K","0.99%"
"May 14, 2023","1,799.36","1,795.11","1,822.93","1,791.86","229.74K","0.25%"
"May 13, 2023","1,794.95","1,807.31","1,814.55","1,786.23","223.65K","-0.68%"
"May 12, 2023","1,807.31","1,794.71","1,812.46","1,741.48","598.87K","0.70%"
